Task Name,Start Date,End Date,Duration,Responsible Person,Status
Project Kickoff,2024-02-14,2024-03-04,19,Team Member 1,In Progress
Vendor Training Program,2024-04-24,2024-05-20,26,Team Member 5,Delayed
Vendor Portal Design,2024-02-17,2024-03-14,26,Team Member 6,Delayed
Integration Testing,2024-04-20,2024-04-30,10,Team Member 4,Delayed
Requirements Gathering,2024-05-13,2024-05-31,18,Team Member 2,Completed
Compliance and Legal Review,2024-03-23,2024-04-19,27,Team Member 8,In Progress
Performance Monitoring Setup,2024-05-12,2024-05-19,7,Team Member 2,Delayed
Project Closure and Handover,2024-05-13,2024-05-23,10,Team Member 5,Not Started
Performance Monitoring Setup,2024-03-31,2024-04-12,12,Team Member 3,Not Started
System Development Phase 1,2024-05-03,2024-06-01,29,Team Member 5,In Progress
Project Kickoff,2024-03-27,2024-04-06,10,Team Member 10,Completed
Performance Monitoring Setup,2024-02-22,2024-03-19,26,Team Member 3,Delayed
Project Closure and Handover,2024-04-09,2024-04-15,6,Team Member 1,Not Started
System Architecture Design,2024-03-15,2024-03-21,6,Team Member 6,Not Started
Performance Monitoring Setup,2024-01-10,2024-02-07,28,Team Member 1,Not Started
Vendor Portal Design,2024-05-06,2024-05-20,14,Team Member 2,Delayed
Post-Deployment Support,2024-03-26,2024-04-12,17,Team Member 7,Not Started
Vendor Engagement Strategy Development,2024-04-25,2024-05-23,28,Team Member 4,In Progress
Project Kickoff,2024-06-26,2024-07-13,17,Team Member 2,In Progress
System Development Phase 1,2024-06-24,2024-07-07,13,Team Member 8,Delayed
Requirements Gathering,2024-02-03,2024-02-26,23,Team Member 1,In Progress
Requirements Gathering,2024-02-29,2024-03-25,25,Team Member 9,Completed
System Development Phase 1,2024-06-09,2024-07-08,29,Team Member 5,Delayed
Performance Monitoring Setup,2024-05-30,2024-06-29,30,Team Member 1,Not Started
Compliance and Legal Review,2024-03-28,2024-04-16,19,Team Member 9,Not Started
Requirements Gathering,2024-02-20,2024-03-18,27,Team Member 9,In Progress
Vendor Assessment,2024-07-04,2024-07-10,6,Team Member 5,Not Started
System Architecture Design,2024-05-07,2024-05-18,11,Team Member 6,In Progress
Post-Deployment Support,2024-03-02,2024-03-10,8,Team Member 7,Delayed
Vendor Training Program,2024-02-03,2024-02-29,26,Team Member 4,Delayed
